Date,Title,Quantity,Total Revenue
2025-02-14,Secrets of the Sea,5,5629.15
2025-02-25,Database Design,5,4002.1
2025-10-02,Mystery at Dawn,7,1853.32
2025-06-24,The Startup Handbook,6,8768.4
2025-03-11,A Journey Within,3,2944.86
2025-06-20,City of Dreams,9,6741.72
2025-03-25,The Golden Compass,4,2662.68
2025-02-14,Mystery at Dawn,7,1853.32
2025-02-05,The Forgotten Path,7,2895.69
2025-08-18,The Creative Mind,6,2679.18
2025-02-17,The Forgotten Path,1,413.67
2025-03-06,The Last Kingdom,3,2899.92
2025-08-09,Across the Stars,5,2244.9
2025-05-16,Mystery at Dawn,8,10792.72
2025-06-06,Modern Python,1,659.59
2025-09-05,Digital Minds,9,8249.85
2025-11-24,The Hidden Garden,10,14703.8
2025-06-11,Across the Stars,10,4966.2
2025-11-27,Learning to Lead,7,10457.72
2025-12-17,The Power of Habit,7,4852.12
2025-09-06,The Silent River,10,9001.9
2025-07-11,The Last Kingdom,7,6766.48
2025-11-27,Modern Python,1,990.87
2025-09-07,City of Dreams,2,1498.16
2025-03-29,The Secret Door,5,2065.15
2025-10-11,Dreams of Tomorrow,6,6412.02
2025-08-22,Data Science Basics,2,1384.58
2025-06-22,Echoes of Time,10,10787.1
2025-10-28,The Silver Key,4,1783.48
2025-01-07,A Journey Within,6,1862.1
2025-07-27,The Lost World,4,1165.16
2025-01-31,The Mountain Path,9,4893.84
2025-09-11,The Art of Thinking,5,3192.55
2025-10-06,A Tale of Courage,4,1660.8
2025-03-20,Dreams of Tomorrow,3,3206.01
2025-07-13,The Power of Habit,8,5545.28
2025-01-23,Beyond the Horizon,8,11144.32
2025-08-22,The Creative Mind,3,1339.59
2025-05-12,The Final Chapter,1,1058.64
2025-08-11,Think and Grow,5,1436.75
2025-01-01,Echoes of Time,7,5839.33
2025-02-02,Mystery at Dawn,10,13490.9
2025-12-29,The Secret Door,6,4309.32
2025-08-10,Financial Freedom,2,807.32
2025-07-13,The Mountain Path,9,7752.42
2025-12-22,Innovation Matters,9,8404.2
2025-01-15,Mindful Living,7,5694.29
2025-08-30,A Tale of Courage,5,2076.0
2025-06-21,Mindful Living,9,7321.23
2025-01-13,Data Science Basics,6,4153.74
2025-08-03,Modern Python,3,2972.61
2025-07-10,Digital Minds,3,2749.95
2025-02-10,The Silent River,4,3600.76
2025-09-23,The Last Kingdom,1,1341.34
2025-06-06,The Midnight Library,9,3610.08
2025-07-19,Echoes of Time,5,5393.55
2025-10-01,Winds of Change,3,3510.36
2025-03-03,A Journey Within,9,8834.58
2025-10-29,The Power of Habit,3,1113.03
2025-02-01,A Tale of Courage,7,2906.4
2025-08-21,The Lost World,3,4050.27
2025-06-28,Data Science Basics,1,692.29
2025-06-05,Echoes of Time,8,8629.68
2025-03-23,Dreams of Tomorrow,1,1479.79
2025-09-22,City of Dreams,6,6639.48
2025-03-12,Letters from Home,9,6740.19
2025-02-23,The Startup Handbook,9,10542.33
2025-04-26,The Art of Thinking,6,5376.6
2025-02-17,Innovation Matters,6,2745.48
2025-05-05,The Blue Moon,9,13128.3
2025-05-16,Across the Stars,6,2693.88
2025-09-14,Dreams of Tomorrow,1,1068.67
2025-09-16,Digital Minds,4,3666.6
2025-04-10,The Creative Mind,1,1070.23
2025-04-29,The Silent River,10,2315.1
2025-06-12,JavaScript Essentials,10,13219.9
2025-10-11,The Final Chapter,6,1746.66
2025-10-01,Future World,3,2854.77
2025-09-10,The Science of Success,8,4644.4
2025-01-15,The Mountain Path,7,6029.66
2025-09-06,Learning to Lead,10,14939.6
2025-04-25,Innovation Matters,7,6536.6
2025-11-09,Business in Motion,3,2875.29
2025-11-04,Artificial Intelligence,1,448.07
2025-06-25,Artificial Intelligence,8,3974.08
2025-03-04,Secrets of the Sea,10,11258.3
2025-07-04,Winds of Change,1,1170.12
2025-12-09,Beyond the Horizon,6,8358.24
2025-07-03,A Journey Within,6,5889.72
2025-06-25,Whispers in the Wind,8,2194.4
2025-04-03,Shadows of Tomorrow,4,1463.64
2025-08-01,The Final Chapter,1,1058.64
2025-05-16,JavaScript Essentials,9,10321.74
2025-07-12,Data Science Basics,9,2500.2
2025-06-01,The Blue Moon,2,769.46
2025-09-15,The Startup Handbook,5,7307.0
2025-01-29,The Science of Success,6,3483.3
2025-10-28,The Silent River,1,231.51
2025-02-25,The Silent River,5,4500.95
2025-12-28,Think and Grow,10,2873.5
