Title,Author,Genre,Price,Quantity
The Silent River,Arjun Mehta,Mystery,231.51,18
Beyond the Horizon,Emily Carter,Science Fiction,489.17,48
Echoes of Time,Rahul Sharma,Mystery,1078.71,35
The Last Kingdom,Sophia Wilson,Mystery,966.64,3
Whispers in the Wind,Daniel Brown,Fiction,320.8,15
A Journey Within,Priya Patel,Biography,981.62,36
The Hidden Garden,Michael Davis,Science Fiction,1129.83,45
Shadows of Tomorrow,Ananya Shah,Biography,744.38,29
The Forgotten Path,James Anderson,Adventure,560.65,1
City of Dreams,Neha Joshi,Fantasy,1106.58,22
The Midnight Library,William Taylor,Romance,401.12,49
Secrets of the Sea,Kavya Desai,Self-Help,331.87,25
The Golden Compass,Robert Thomas,Mystery,665.67,23
Road to Success,Olivia Martin,Adventure,542.88,3
The Art of Thinking,Amit Verma,Business,896.1,25
Digital Minds,Emma Clark,Mystery,916.65,41
The Lost World,Rohan Shah,Adventure,1350.09,24
Across the Stars,David Lewis,Adventure,448.98,5
The Final Chapter,Isha Patel,Fiction,1058.64,50
Dreams of Tomorrow,Christopher Walker,Romance,1479.79,15
The Power of Habit,Arjun Mehta,Mystery,693.16,30
Mindful Living,Emily Carter,Self-Help,410.45,23
The Creative Mind,Rahul Sharma,Science Fiction,1070.23,45
Modern Python,Sophia Wilson,Mystery,990.87,11
JavaScript Essentials,Daniel Brown,Biography,1146.86,11
Data Science Basics,Priya Patel,Business,692.29,41
The Coding Journey,Michael Davis,Biography,484.5,21
Artificial Intelligence,Ananya Shah,Fiction,496.76,3
Web Development Guide,James Anderson,Self-Help,720.51,5
Database Design,Neha Joshi,Science Fiction,1386.08,37
The Ancient Secret,William Taylor,Self-Help,475.41,32
Mystery at Dawn,Kavya Desai,Technology,1349.09,42
The Blue Moon,Robert Thomas,Business,384.73,9
A Tale of Courage,Olivia Martin,Science Fiction,1167.49,35
Winds of Change,Amit Verma,Romance,1170.12,28
The Secret Door,Emma Clark,Adventure,718.22,15
The Mountain Path,Rohan Shah,Fantasy,861.38,6
Letters from Home,David Lewis,Fiction,1318.43,10
The Ocean Between Us,Isha Patel,Fantasy,1228.7,28
The Silver Key,Christopher Walker,Adventure,281.59,25
Learning to Lead,Arjun Mehta,Adventure,1493.96,34
The Startup Handbook,Emily Carter,Romance,1461.4,1
Business in Motion,Rahul Sharma,Mystery,1085.22,35
Financial Freedom,Sophia Wilson,Romance,1198.18,22
The Science of Success,Daniel Brown,Mystery,580.55,11
Think and Grow,Priya Patel,Business,203.22,47
The Psychology of Money,Michael Davis,Romance,1462.45,49
Future World,Ananya Shah,Fantasy,858.99,7
The Digital Age,James Anderson,Romance,1293.17,33
Innovation Matters,Neha Joshi,Adventure,457.58,24
The Silent River,William Taylor,Fantasy,900.19,50
Beyond the Horizon,Kavya Desai,Biography,1393.04,39
Echoes of Time,Robert Thomas,Self-Help,834.19,8
The Last Kingdom,Olivia Martin,Self-Help,1341.34,20
Whispers in the Wind,Amit Verma,Science Fiction,274.3,37
A Journey Within,Emma Clark,Mystery,310.35,32
The Hidden Garden,Rohan Shah,Mystery,1470.38,35
Shadows of Tomorrow,David Lewis,Fantasy,365.91,31
The Forgotten Path,Isha Patel,Biography,413.67,34
City of Dreams,Christopher Walker,Adventure,749.08,14
The Midnight Library,Arjun Mehta,Biography,1180.84,45
Secrets of the Sea,Emily Carter,Science Fiction,1125.83,26
The Golden Compass,Rahul Sharma,Self-Help,768.53,34
Road to Success,Sophia Wilson,Business,356.31,15
The Art of Thinking,Daniel Brown,Mystery,638.51,38
Digital Minds,Priya Patel,Biography,498.15,15
The Lost World,Michael Davis,Fiction,291.29,41
Across the Stars,Ananya Shah,Fiction,496.62,3
The Final Chapter,James Anderson,Self-Help,291.11,16
Dreams of Tomorrow,Neha Joshi,Romance,1068.67,14
The Power of Habit,William Taylor,Biography,371.01,37
Mindful Living,Kavya Desai,Adventure,813.47,31
The Creative Mind,Robert Thomas,Technology,446.53,7
Modern Python,Olivia Martin,Technology,659.59,27
JavaScript Essentials,Amit Verma,Business,1321.99,4
Data Science Basics,Emma Clark,Mystery,277.8,47
The Coding Journey,Rohan Shah,Self-Help,1239.77,7
Artificial Intelligence,David Lewis,Science Fiction,448.07,35
Web Development Guide,Isha Patel,Business,381.24,12
Database Design,Christopher Walker,Romance,800.42,5
The Ancient Secret,Arjun Mehta,Business,1249.43,36
Mystery at Dawn,Emily Carter,Mystery,264.76,35
The Blue Moon,Rahul Sharma,Fiction,1458.7,49
A Tale of Courage,Sophia Wilson,Science Fiction,415.2,32
Winds of Change,Daniel Brown,Business,476.87,26
The Secret Door,Priya Patel,Fiction,413.03,1
The Mountain Path,Michael Davis,Technology,543.76,30
Letters from Home,Ananya Shah,Romance,748.91,47
The Ocean Between Us,James Anderson,Biography,1059.43,32
The Silver Key,Neha Joshi,Fantasy,445.87,14
Learning to Lead,William Taylor,Fiction,951.93,35
The Startup Handbook,Kavya Desai,Fiction,1171.37,4
Business in Motion,Robert Thomas,Fiction,958.43,33
Financial Freedom,Olivia Martin,Biography,403.66,33
The Science of Success,Amit Verma,Mystery,1305.75,5
Think and Grow,Emma Clark,Adventure,287.35,16
The Psychology of Money,Rohan Shah,Technology,354.85,37
Future World,David Lewis,Science Fiction,951.59,3
The Digital Age,Isha Patel,Adventure,305.58,43
Innovation Matters,Christopher Walker,Adventure,933.8,21
